model,start_time,end_time
resnet18,2020-07-29 11:48:33.997669,2020-07-29 11:48:35.191556
resnet34,2020-07-29 11:48:35.605452,2020-07-29 11:48:37.055478
resnet50,2020-07-29 11:48:37.515784,2020-07-29 11:48:39.637497
resnet101,2020-07-29 11:48:40.428076,2020-07-29 11:48:43.573617
resnet152,2020-07-29 11:48:44.678075,2020-07-29 11:48:48.911914
alexnet,2020-07-29 11:48:49.459523,2020-07-29 11:48:50.481925
vgg11,2020-07-29 11:48:51.498139,2020-07-29 11:48:53.478696
vgg11_bn,2020-07-29 11:48:54.369342,2020-07-29 11:48:56.553104
vgg13,2020-07-29 11:48:57.532416,2020-07-29 11:49:00.152922
vgg13_bn,2020-07-29 11:49:01.112091,2020-07-29 11:49:04.107927
vgg16,2020-07-29 11:49:04.997947,2020-07-29 11:49:08.113509
vgg16_bn,2020-07-29 11:49:09.101480,2020-07-29 11:49:12.493949
vgg19,2020-07-29 11:49:13.541268,2020-07-29 11:49:17.033374
vgg19_bn,2020-07-29 11:49:18.102642,2020-07-29 11:49:21.900024
squeezenet,2020-07-29 11:49:21.929303,2020-07-29 11:49:23.075703
densenet121,2020-07-29 11:49:23.263932,2020-07-29 11:49:25.751665
densenet161,2020-07-29 11:49:26.213898,2020-07-29 11:49:30.945389
densenet169,2020-07-29 11:49:31.282119,2020-07-29 11:49:34.394629
densenet201,2020-07-29 11:49:34.844862,2020-07-29 11:49:38.608063
